timePlayed,status
2024-04-24T15:50:30Z,Jogou
2024-04-24T16:15:10Z,Jogou
2024-04-24T16:25:39Z,Jogou
2024-04-24T16:29:31Z,Jogou
2024-04-24T16:31:06Z,Jogou
2024-04-24T16:31:31Z,Jogou
2024-04-24T16:32:11Z,Jogou
2024-04-29T11:48:05Z,Jogou
2024-04-29T11:48:25Z,Jogou
2024-04-29T11:52:54Z,Jogou
2024-04-29T12:03:07Z,Jogou
2024-04-29T12:06:33Z,Jogou
2024-04-29T12:07:28Z,Jogou
2024-04-29T12:08:17Z,Jogou
2024-04-29T12:08:47Z,Jogou
2024-04-29T12:10:36Z,Jogou
2024-04-29T12:45:42Z,Jogou
2024-04-29T12:46:49Z,Jogou
2024-04-30T15:27:30Z,Jogou
